"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3103855,"December 28, 2024","West Virginia",Grantsville,"5957 Pine Creek Rd",2,2,0,0,1,N/A
3094239,"December 14, 2024","New Mexico",Belen,"5 Cam Escondido",4,0,0,0,1,N/A
3078783,"November 22, 2024",Georgia,Savannah,"200 block of Quacco Trail",3,0,0,0,1,N/A
3052758,"October 21, 2024",Washington,"Fall City","7715 Lake Alice Rd SE",5,1,0,0,1,N/A
3027151,"September 15, 2024",Vermont,Pawlet,"2733 VT-133",3,0,0,0,1,N/A
2972255,"July 18, 2024",Alabama,"West Blocton","1073 Greentree Dr",5,0,0,0,1,N/A
2965394,"July 10, 2024",California,Alameda,"417 Kitty Hawk Rd",5,0,0,0,1,N/A
2860876,"March 23, 2024",Mississippi,Indianola,"204 Janet Cir",3,0,0,0,1,N/A
2854634,"March 16, 2024",Pennsylvania,Levittown,"5 Edgewood Ln",3,0,0,0,1,N/A
2825253,"February 10, 2024",Arkansas,"Malvern (Glen Rose)","5000 block of Pryor Dr",3,0,0,0,1,N/A
2807473,"January 21, 2024",Illinois,"Tinley Park","7430 173rd Pl",4,0,0,0,1,N/A
2808531,"January 21, 2024",Illinois,Joliet,"200 block of Davis St",8,1,1,0,1,N/A
2807488,"January 20, 2024",Florida,"Palm Bay","1700 Woodlake Dr NE",3,2,0,0,1,N/A
2797943,"January 8, 2024",Texas,Georgetown,"310 County Road 317",2,0,0,0,1,N/A
2789537,"December 27, 2023",California,Miramonte,"47000 block of Dunlap Rd",2,0,0,0,1,N/A
2771255,"December 5, 2023",Texas,Austin,"7104 Berkman Dr",6,3,0,0,1,N/A
2764933,"November 27, 2023","New Jersey","South Plainfield","324 Coppola Dr",3,0,0,0,1,N/A
2750673,"November 8, 2023",Kentucky,Shepherdsville,"213 Bentwood Dr",2,0,0,0,1,N/A
2750661,"November 7, 2023",Kentucky,"Science Hill","303 Raleigh Rd",2,1,0,0,1,N/A
2641348,"July 3, 2023",Illinois,Chicago,"2600 block of S Millard Ave",2,1,0,0,1,N/A
2625892,"June 15, 2023",Ohio,"New Richmond","1965 Laurel Lindale Rd",3,1,0,0,1,N/A
2606205,"May 23, 2023",Texas,Texarkana,"563 Lemon Acre",4,0,0,0,1,N/A
2602685,"May 19, 2023",Utah,Layton,"1832 E Gentile St",3,0,0,0,1,N/A
2579313,"April 22, 2023",California,Oakland,"9500 block of Birch St",2,1,0,0,1,N/A
2531925,"February 22, 2023",Alabama,Daphne,"123 block of Melanie Loop",4,0,0,0,1,N/A
2501869,"January 13, 2023",Ohio,Cleveland,"3719 Mack Ct",4,1,0,0,1,N/A
2431155,"October 3, 2022",California,"Dos Palos","Indiana Rd and Hutchins Rd",3,0,0,0,1,N/A
2313970,"May 27, 2022",Michigan,Stanwood,"10711 185th Ave",4,0,0,1,1,N/A
2312143,"May 25, 2022",Kentucky,Lexington,"1174 Caywood Dr",3,0,0,0,1,N/A
2177416,"November 28, 2021",California,Lancaster,"3500 block of Garnet Ln",5,0,0,0,1,N/A
2055388,"July 5, 2021",Indiana,Lafayette,"3055 Mount Ct",2,0,0,0,1,N/A
2050810,"July 1, 2021",Arizona,Tucson,"7600 block of E Toronto St",3,0,0,0,1,N/A
1938191,"February 23, 2021",Arkansas,Elkins,"3487 Co Rd 6041",2,0,0,0,1,N/A
1910136,"January 24, 2021",Indiana,Indianapolis,"3540 Adams St",5,1,0,0,1,N/A
1781104,"August 31, 2020",Texas,Dallas,"2605 John West Rd",3,0,0,0,1,N/A
1599331,"January 17, 2020",Utah,Grantsville,"93 Eastmoor Dr",4,1,0,0,1,N/A
1495192,"September 2, 2019",Alabama,Elkmont,"25019 Ridge Road",5,0,0,0,1,N/A
1382711,"April 28, 2019",Ohio,"West Chester","4637 Wyndtree Dr",4,0,0,0,1,N/A
1311191,"January 25, 2019",Florida,Oviedo,"2112 Sultan Circle",3,0,0,0,1,N/A
1211342,"September 16, 2018",Mississippi,Jackson,"3068 Marwood Dr",3,0,0,0,1,N/A
853756,"May 27, 2017",Mississippi,"Bogue Chitto","2871 Lee Dr",8,0,0,1,1,N/A
750232,"January 13, 2017",Kentucky,"Williamsburg (Savoy)","2000 block of U.S. 25",3,0,0,1,1,N/A
545525,"April 22, 2016",Ohio,Piketon,"4077 Union Hill Rd",8,0,0,0,4,N/A
390526,"August 8, 2015",Texas,Houston,"2211 Falling Oaks",8,0,0,0,1,N/A
211348,"October 26, 2014",Kentucky,Cadiz,"1410 Old Dover Road",4,0,0,0,1,N/A
492001,"August 14, 2013",Oklahoma,"Oklahoma City","4601 SE 79th St",4,0,0,0,1,N/A
479363,"January 19, 2013","New Mexico",Albuquerque,"2806 Long Lane",5,0,0,0,1,N/A
