"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3136711,"February 10, 2025",Wyoming,Byron,"239 E Shoshone Ave",4,0,1,0,0,N/A
3133481,"February 6, 2025",Virginia,Chesapeake,"3025 Welcome Rd",3,0,1,0,0,N/A
3129598,"January 31, 2025",Florida,Sebring,"N Huckleberry Lake Dr",2,0,1,0,0,N/A
3122136,"January 7, 2025",Alabama,Madison,"109 Forest Brook Dr",2,0,1,0,0,N/A
3079346,"November 23, 2024",Oklahoma,Afton,"OK-85 and E 340 Rd",2,0,1,0,0,N/A
3014735,"September 2, 2024",Utah,"Ogden (West Haven)","1747 S Prevedel Dr",3,0,1,0,0,N/A
3015133,"September 1, 2024",Texas,Bullard,"500 block of Guinn St",2,1,1,0,0,N/A
3009601,"August 29, 2024",Ohio,Columbus,"3300 block of Broadmoor Ave",2,0,1,0,0,N/A
2985812,"August 2, 2024",Florida,Eustis,"38144 Brookside Dr",1,2,3,0,0,N/A
2955398,"June 28, 2024",Louisiana,Hammond,"29960 W Bates Road",2,0,1,0,0,N/A
2874025,"April 8, 2024",Minnesota,"Anoka (Ramsey)","17955 Roanoke St NW",2,0,1,0,0,N/A
2833505,"February 18, 2024",Wisconsin,Middleton,"6300 block of Maywood Ave",2,1,1,0,0,N/A
2804538,"January 17, 2024","New Jersey",Union,"1329 Lincrest Ter",3,0,1,0,0,N/A
2778224,"December 12, 2023",Indiana,Madison,"1623 E Telegraph Hill Rd",3,0,1,0,0,N/A
2758027,"November 16, 2023",Washington,Spokane,"2609 W Woodside Ave",2,0,1,0,0,N/A
2750673,"November 8, 2023",Kentucky,Shepherdsville,"213 Bentwood Dr",2,0,0,0,1,N/A
2692267,"August 27, 2023",Florida,"Lake Wales",N/A,2,0,1,0,0,N/A
2687183,"August 21, 2023",Texas,Lubbock,"2706 46th St",2,0,1,0,0,N/A
2659085,"July 20, 2023",Oklahoma,"Claremore (Verdigris)","10785 E Dogwood Ct",3,0,1,0,0,N/A
2636541,"June 26, 2023",Oklahoma,Muskogee,"2827 Suroya St",2,0,1,0,0,N/A
2626660,"June 16, 2023",Kentucky,Jackson,"2975 Wolverine Rd",3,0,1,0,0,N/A
2569743,"April 11, 2023","North Carolina","Winston Salem (Winston-salem)","3140 Brookhill Dr",3,0,1,0,0,N/A
2534995,"February 27, 2023",Ohio,"New Richmond","1195 Riebel Ridge",3,1,1,0,0,N/A
2521514,"February 9, 2023",Louisiana,Harvey,"1101 Curtis St",2,0,2,0,0,N/A
2511952,"January 25, 2023",Pennsylvania,York,"2098 Loman Ave",2,0,1,0,0,N/A
2444683,"October 21, 2022",Wisconsin,Hartland,"700 Mansfield Court",4,0,2,0,0,N/A
1914168,"January 23, 2021",Colorado,Alamosa,"County Rd 3 S and Truman Ave",2,0,1,0,0,N/A
1908063,"December 8, 2020","West Virginia",Williamsburg,"611 Flynns Creek Rd",5,0,1,0,0,N/A
1485157,"August 21, 2019",Georgia,"Atlanta (Vinings)","3206 Nobility Way",2,0,1,0,0,N/A
1233663,"October 15, 2018",Tennessee,Columbia,"1075 Carters Creek Pike",4,0,1,0,0,N/A
1164073,"July 13, 2018","South Carolina",Hemingway,"461 E Lawrimore Rd",2,0,1,0,0,N/A
750232,"January 13, 2017",Kentucky,"Williamsburg (Savoy)","2000 block of U.S. 25",3,0,0,1,1,N/A
545525,"April 22, 2016",Ohio,Piketon,"4077 Union Hill Rd",8,0,0,0,4,N/A
377486,"July 17, 2015",Washington,Bellingham,"5056 Noon Road",2,0,0,1,0,N/A
480605,"September 20, 2013",Texas,Rice,"703 NW 0149",4,0,1,0,0,N/A
3089926,"March 9, 2013",Texas,Mesquite,"1400 block of Paintbrush St",3,0,1,0,0,N/A
