"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3094239,"December 14, 2024","New Mexico",Belen,"5 Cam Escondido",4,0,0,0,1,N/A
3052758,"October 21, 2024",Washington,"Fall City","7715 Lake Alice Rd SE",5,1,0,0,1,N/A
2825253,"February 10, 2024",Arkansas,"Malvern (Glen Rose)","5000 block of Pryor Dr",3,0,0,0,1,N/A
2789537,"December 27, 2023",California,Miramonte,"47000 block of Dunlap Rd",2,0,0,0,1,N/A
2371386,"July 26, 2022",Alaska,Fairbanks,"1476 Constance Ct",3,0,1,0,0,N/A
1910136,"January 24, 2021",Indiana,Indianapolis,"3540 Adams St",5,1,0,0,1,N/A
1599331,"January 17, 2020",Utah,Grantsville,"93 Eastmoor Dr",4,1,0,0,1,N/A
1495192,"September 2, 2019",Alabama,Elkmont,"25019 Ridge Road",5,0,0,0,1,N/A
293377,"February 11, 2015",Kentucky,Corbin,"1212 Forest Circle Drive",3,1,1,0,0,N/A
479363,"January 19, 2013","New Mexico",Albuquerque,"2806 Long Lane",5,0,0,0,1,N/A
